Date,Close/Last,Volume,Open,High,Low
05/24/2021,$3244.99,2422813,$3215.5,$3257.95,$3210.4993
05/21/2021,$3203.08,4104882,$3250,$3256.6946,$3197.01
05/20/2021,$3247.68,2633192,$3244.4042,$3259.6799,$3236.18
05/19/2021,$3231.8,2679708,$3195,$3234.75,$3184
05/18/2021,$3232.28,2828391,$3292.575,$3312,$3230.37
05/17/2021,$3270.39,3685599,$3245.93,$3292.75,$3234.59
05/14/2021,$3222.9,3325022,$3185.56,$3228.86,$3183
05/13/2021,$3161.47,3356877,$3185.47,$3203.84,$3133
05/12/2021,$3151.94,4936410,$3185,$3207.94,$3133.1
05/11/2021,$3223.91,4619781,$3136.28,$3238,$3127.37
05/10/2021,$3190.49,5838603,$3282.32,$3283,$3190
05/07/2021,$3291.61,4710276,$3319.09,$3330.89,$3289.0704
05/06/2021,$3306.37,4447696,$3270,$3314.4,$3247.2
05/05/2021,$3270.54,3711308,$3338.855,$3354.695,$3264.36
05/04/2021,$3311.87,5439449,$3356.19,$3367.975,$3272.13
05/03/2021,$3386.49,5875530,$3484.73,$3486.645,$3372.7012
04/30/2021,$3467.42,7009346,$3525.12,$3554,$3462.5
04/29/2021,$3471.31,7682381,$3505.098,$3514.445,$3435
04/28/2021,$3458.5,4631884,$3434.8,$3489.88,$3425
04/27/2021,$3417.43,3827140,$3443.47,$3460,$3398.01
04/26/2021,$3409,4880708,$3348,$3428.45,$3330.94
04/23/2021,$3340.88,3196652,$3319.1,$3375,$3308.5
04/22/2021,$3309.04,2580590,$3371.68,$3372.87,$3301.45
04/21/2021,$3362.02,2211166,$3316,$3362.86,$3303.8061
04/20/2021,$3334.69,2623032,$3373.6,$3382.99,$3316
04/19/2021,$3372.01,2725405,$3390.33,$3435.9333,$3360.16
04/16/2021,$3399.44,3186049,$3380,$3406.8,$3355.59
04/15/2021,$3379.09,3233580,$3371,$3396.9999,$3352
04/14/2021,$3333,3145204,$3404.04,$3404.13,$3326
04/13/2021,$3400,3315837,$3400.845,$3432,$3395.63
04/12/2021,$3379.39,3281798,$3355.21,$3395.04,$3351.15
04/09/2021,$3372.2,4341473,$3304.7,$3372.2,$3288.9
04/08/2021,$3299.3,2812090,$3310.9,$3324.5,$3292
04/07/2021,$3279.39,3346227,$3233.8,$3303.6125,$3223.65
04/06/2021,$3223.82,2537809,$3223.75,$3247.31,$3217.04
