Date,Close/Last,Volume,Open,High,Low
05/24/2021,$112.52,5436295,$111.798,$113.03,$111.52
05/21/2021,$110.92,5146620,$111.63,$112.22,$110.57
05/20/2021,$111.41,5345545,$109.98,$111.69,$109.87
05/19/2021,$109.67,5997454,$109.6,$109.94,$108.88
05/18/2021,$111.07,5177382,$111.37,$112.21,$111.01
05/17/2021,$110.98,4519580,$111.22,$111.27,$109.83
05/14/2021,$111.2,6836260,$111.01,$111.59,$110.25
05/13/2021,$110.49,7999752,$110.16,$111.18,$109.155
05/12/2021,$109.79,7965263,$111.87,$112.39,$109.56
05/11/2021,$113.55,7775369,$113.32,$113.69,$112.17
05/10/2021,$114.3,5759483,$114.57,$116.085,$114.21
05/07/2021,$114.34,4867501,$115.11,$115.84,$114.24
05/06/2021,$114.74,4113286,$113.65,$114.81,$113.1
05/05/2021,$113.48,4677689,$114.21,$114.88,$113.16
05/04/2021,$114.11,6265098,$115.15,$115.4,$113.535
05/03/2021,$115.72,5049806,$115.18,$116.74,$115.13
04/30/2021,$114.49,6478714,$114,$114.95,$113.49
04/29/2021,$114.63,8936555,$113.21,$115.1499,$112.76
04/28/2021,$112.4,14793490,$113.44,$114.1499,$111.61
04/27/2021,$116.15,7260927,$115.67,$116.3899,$115.27
04/26/2021,$115.92,5924931,$116.95,$117.25,$115.06
04/23/2021,$117.56,4559282,$116.02,$117.98,$115.84
04/22/2021,$115.92,5745110,$116.868,$116.88,$115.225
04/21/2021,$116.74,4397440,$116.09,$117.26,$115.86
04/20/2021,$116.27,5662376,$116.96,$117.2594,$115.35
04/19/2021,$117.6,4889684,$118.17,$118.98,$117.04
04/16/2021,$118.34,5777860,$117.82,$118.5,$116.94
04/15/2021,$116.66,5079094,$115.1,$116.89,$114.78
04/14/2021,$115.16,3994551,$115.22,$116.235,$114.72
04/13/2021,$115.36,4607384,$113.78,$115.6,$113.682
04/12/2021,$113.81,4707805,$113.02,$113.89,$112.77
04/09/2021,$113.18,4114258,$112.91,$113.27,$111.97
04/08/2021,$113.04,5011290,$113.65,$113.96,$112.6799
04/07/2021,$113.19,5629622,$112.91,$113.76,$112.65
04/06/2021,$113.15,6745242,$111.38,$113.82,$111.095
04/05/2021,$111.02,6913105,$109.91,$111.35,$109.87
04/01/2021,$109.38,5792950,$110.06,$110.06,$108.2
03/31/2021,$109.27,6478401,$110.33,$111.6199,$109.19
03/30/2021,$110.27,4552862,$108.42,$110.45,$108.28
03/29/2021,$109.13,5167195,$109.01,$110.25,$106.59
03/26/2021,$109.9,6167570,$107.25,$110,$107.175
03/25/2021,$107.35,8149044,$105.007,$107.7,$104.06
03/24/2021,$104.97,5731334,$106.63,$107.28,$104.94
03/23/2021,$106.25,5657840,$107.74,$107.9477,$105.6738
03/22/2021,$107.57,7605084,$106.4,$108.42,$106
